TruSight Oncology 500 - Metrics Output
For Research Use Only. Not for use in diagnostic procedures.

[Header]
Output Date	2021-01-08
Output Time	23:08:23
Workflow Version	ruo-2.2.0.12

[Run QC Metrics]
Metric (UOM)	LSL Guideline	USL Guideline	Value
PCT_PF_READS (%)	80.0	NA	87.5
PCT_Q30_R1 (%)	80.0	NA	92.2
PCT_Q30_R2 (%)	80.0	NA	91.9

[Analysis Status]
	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
COMPLETED_ALL_STEPS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
FAILED_STEPS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STEPS_NOT_EXECUTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

[DNA Library QC Metrics]
Metric (UOM)	LSL Guideline	USL Guideline	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
CONTAMINATION_SCORE (NA)	0	3106	478	306	334	557	563	1440	824	3700	2620	112	201	343	399	287	2724	30581
CONTAMINATION_P_VALUE (NA)	0.000	0.049	1.000	1.000	1.000	1.000	1.000	0.706	0.993	0.000	0.098	1.000	1.000	1.000	1.000	1.000	0.798	0.114

[DNA Library QC Metrics for Small Variant Calling and TMB]
Metric (UOM)	LSL Guideline	USL Guideline	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
MEDIAN_INSERT_SIZE (bp)	70	NA	90	108	107	95	91	107	111	108	106	99	105	104	128	123	174	121
MEDIAN_EXON_COVERAGE (Count)	150	NA	0	0	0	0	0	322	443	369	336	260	333	350	0	0	0	513
PCT_EXON_50X (%)	90.0	NA	12.1	14.4	14.5	13.6	12.7	98.9	99.0	99.0	98.6	98.8	98.9	98.7	15.1	14.7	13.2	99.1

[DNA Library QC Metrics for MSI]
Metric (UOM)	LSL Guideline	USL Guideline	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
USABLE_MSI_SITES (Count)	40	NA	10	15	14	14	11	111	115	114	110	106	112	114	15	14	10	122

[DNA Library QC Metrics for CNV]
Metric (UOM)	LSL Guideline	USL Guideline	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
COVERAGE_MAD (Count)	0.000	0.210	0.000	0.000	0.000	0.000	0.000	0.105	0.090	0.139	0.189	0.106	0.117	0.087	0.000	0.000	0.000	0.111
MEDIAN_BIN_COUNT_CNV_TARGET (Count)	1.0	NA	0.0	0.0	0.0	0.0	0.0	4.5	6.1	5.1	5.0	3.9	4.9	4.9	0.0	0.0	0.0	6.6

[DNA Expanded Metrics]
Metric (UOM)	LSL Guideline	USL Guideline	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
TOTAL_PF_READS (Count)	NA	NA	23342112	26146336	25735820	27281798	23179600	105965494	102698768	82228588	94928070	107560402	106905814	82856632	25737518	23671726	20528670	90042478
MEAN_FAMILY_SIZE (Count)	NA	NA	7.9	2.5	2.5	4.4	5.3	5.6	3.9	3.4	4.2	6.0	4.9	3.9	1.8	2.3	3.4	2.9
MEDIAN_TARGET_COVERAGE (Count)	NA	NA	0.0	0.0	0.0	0.0	0.0	317.0	442.0	364.0	334.0	258.0	329.0	348.0	0.0	0.0	0.0	494.0
PCT_CHIMERIC_READS (%)	NA	NA	7.19	9.93	10.12	8.56	8.36	0.13	0.11	0.12	0.10	0.15	0.13	0.13	10.47	10.20	8.78	0.08
PCT_EXON_100X (%)	NA	NA	10.5	13.3	13.3	11.8	10.8	97.8	98.2	98.2	96.9	97.5	97.9	97.4	14.2	13.4	11.9	98.6
PCT_READ_ENRICHMENT (%)	NA	NA	81.3	83.1	84.1	81.6	82.2	79.0	76.3	74.1	78.3	76.5	75.6	78.7	80.3	80.2	72.4	74.5
PCT_USABLE_UMI_READS (%)	NA	NA	99.8	99.9	99.9	99.9	99.8	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.8	99.9	99.9	99.9
MEAN_TARGET_COVERAGE (Count)	NA	NA	48.3	209.0	209.2	109.3	74.3	305.7	423.2	364.3	348.9	262.8	330.8	333.0	301.8	214.4	130.2	505.1
PCT_ALIGNED_READS (%)	NA	NA	98.6	97.2	98.8	97.6	98.9	98.9	97.3	96.1	95.5	98.0	98.2	97.0	98.0	97.2	97.8	96.6
PCT_CONTAMINATION_EST (%)	NA	NA	2.5	1.8	1.2	1.4	1.8	3.8	2.2	7.0	6.6	0.8	0.8	1.1	0.9	1.0	14.2	20.6
PCT_PF_UQ_READS (%)	NA	NA	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PCT_TARGET_0.4X_MEAN (%)	NA	NA	11.2	10.5	10.5	10.8	10.8	96.3	95.9	96.3	93.3	96.4	96.3	95.5	10.7	10.6	10.3	95.8
PCT_TARGET_100X (%)	NA	NA	8.0	10.3	10.3	9.1	8.3	97.3	97.9	97.5	96.3	96.6	97.4	96.9	11.1	10.4	9.3	98.0
PCT_TARGET_250X (%)	NA	NA	5.6	8.9	8.9	7.4	6.5	74.9	89.9	88.8	73.9	55.7	84.2	82.3	9.6	9.0	7.7	93.9

[RNA Library QC Metrics]
Metric (UOM)	LSL Guideline	USL Guideline	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
MEDIAN_CV_GENE_500X (NA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOTAL_ON_TARGET_READS (NA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEDIAN_INSERT_SIZE (NA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

[RNA Expanded Metrics]
Metric (UOM)	LSL Guideline	USL Guideline	00_00001_QIA	00_00002_EZ1	00_00002_QIA	00_00003_EZ1	00_00003_QIA	00_00004	00_00005	00_00006	00_00007	00_00008	00_00009	00_00010	00_00011_EZ1	00_00011_QIA	Genomic_Control	Horizon_Control
PCT_CHIMERIC_READS (NA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCT_ON_TARGET_READS (NA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCALED_MEDIAN_GENE_COVERAGE (NA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOTAL_PF_READS (NA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

[Notes]
Run Metrics	Run Metrics are not generated and values are reported as NA when starting analysis from FASTQ files.
